Kernel name,start,end,duration
1044,1131572262,1131646727,74465
1020,1131648711,1132720530,1071819
1045,1132722227,1132839988,117761
1020,1132841684,1139778654,6936970
1046,1139780286,1140097922,317636
1026,1140099297,1143699304,3600007
1045,1143701128,1143820297,119169
1020,1143821929,1145425403,1603474
1059,1145427067,1145432987,5920
1061,1145434427,1145592317,157890
1023,1145593949,1146484774,890825
1059,1146486566,1146491654,5088
1088,1146493254,1146504838,11584
1044,1146506246,1146579591,73345
1020,1146581767,1147653363,1071596
1045,1147654867,1147773012,118145
1020,1147774420,1154711678,6937258
1046,1154713342,1155032098,318756
1026,1155033666,1158633576,3599910
1045,1158634985,1158753194,118209
1020,1158754570,1160358075,1603505
1059,1160359387,1160365275,5888
1061,1160366747,1160524157,157410
1023,1160525501,1161416230,890729
1059,1161417606,1161422790,5184
1088,1161424294,1161436262,11968
1044,1161437702,1161512807,75105
1020,1161514695,1162586131,1071436
1045,1162587795,1162705492,117697
1020,1162707476,1169645118,6937642
1046,1169646495,1169965026,318531
1026,1169966754,1173566952,3600198
1045,1173568617,1173686282,117665
1020,1173687722,1175290939,1603217
1059,1175292603,1175298651,6048
1061,1175300347,1175458365,158018
1023,1175459709,1176357671,897962
1059,1176359143,1176364263,5120
1088,1176365894,1176377735,11841
1044,1176379239,1176452840,73601
1020,1176454792,1177526579,1071787
1045,1177528211,1177646676,118465
1020,1177648372,1184585695,6937323
1046,1184587390,1184905794,318404
1026,1184907106,1188506153,3599047
1045,1188507529,1188626762,119233
1020,1188628362,1190231707,1603345
1059,1190233115,1190239035,5920
1061,1190240476,1190398589,158113
1023,1190399933,1191302183,902250
1059,1191303879,1191308839,4960
1088,1191310151,1191321671,11520
1044,1191323047,1191397864,74817
1020,1191400072,1192471155,1071083
1045,1192472787,1192591956,119169
1020,1192593589,1199529983,6936394
1046,1199531647,1199849155,317508
1026,1199850562,1203450089,3599527
1045,1203451593,1203570506,118913
1020,1203571946,1205174907,1602961
1059,1205176571,1205182683,6112
1061,1205184316,1205342589,158273
1023,1205343901,1206240071,896170
1059,1206241511,1206246471,4960
1088,1206247847,1206259367,11520
1044,1206260807,1206333640,72833
1020,1206335656,1207407027,1071371
1045,1207408595,1207526325,117730
1020,1207527989,1214464543,6936554
1046,1214465919,1214784322,318403
1026,1214785890,1218385417,3599527
1045,1218387049,1218505034,117985
1020,1218506730,1220110267,1603537
1059,1220111804,1220117788,5984
1061,1220119164,1220277469,158305
1023,1220279166,1221179047,899881
1059,1221180615,1221185639,5024
1088,1221187367,1221198919,11552
1044,1221200327,1221273640,73313
1020,1221275624,1222347412,1071788
1045,1222349044,1222466613,117569
1020,1222468245,1229405695,6937450
1046,1229407327,1229726243,318916
1026,1229727554,1233327401,3599847
1045,1233329033,1233446955,117922
1020,1233449451,1235053244,1603793
1059,1235054524,1235060476,5952
1061,1235061948,1235220318,158370
1023,1235221981,1236112615,890634
1059,1236114343,1236119431,5088
1088,1236121095,1236132615,11520
1044,1236133991,1236208616,74625
1020,1236209960,1237282164,1072204
1045,1237283700,1237401621,117921
1020,1237402965,1244340799,6937834
1046,1244342207,1244661539,319332
1026,1244663235,1248263017,3599782
1045,1248264425,1248383083,118658
1020,1248384523,1249988348,1603825
1059,1249990044,1249996092,6048
1061,1249997404,1250155614,158210
1023,1250156926,1251044135,887209
